OBJECTID_1,FIPS,EDU_COMP,EDU_RANK,EE_COMP,EE_RANK,N_COMP,N_RANK,COMP_,COMP_RANK,COMP_OPP
893,26125161800,0.124684,3,0.208294,3,-0.277845,2,0.018378,3,Moderate
894,26125161900,0.368029,4,0.488458,4,0.263406,4,0.373298,4,High
895,26125162000,0.207453,3,0.763366,5,0.39521,4,0.455343,4,High
896,26125162200,-0.674043,2,0.037166,3,-0.897264,1,-0.511381,2,Low
897,26125162300,0.282246,4,0.106228,3,0.181365,3,0.189946,3,Moderate
898,26125162400,0.044052,3,0.411275,4,0.144863,3,0.200063,3,Moderate
899,26125162500,-0.469234,2,-0.19085,2,-0.38396,2,-0.348015,2,Low
900,26125165100,0.887653,5,0.546066,4,0.361552,4,0.598423,5,Very High
901,26125165200,0.936147,5,0.504584,4,0.202171,3,0.547634,4,High
902,26125166000,0.882964,5,0.748064,5,0.27328,4,0.634769,5,Very High
903,26125166200,0.801665,5,1.262311,5,0.914347,5,0.992774,5,Very High
904,26125166400,0.748585,5,0.820932,5,0.650394,5,0.73997,5,Very High
905,26125166500,0.951354,5,0.88021,5,0.61748,5,0.816348,5,Very High
906,26125166700,0.985196,5,1.038547,5,0.836255,5,0.953333,5,Very High
907,26125166800,0.527549,4,0.535144,4,0.41975,4,0.494148,4,High
908,26125167000,0.908958,5,1.003939,5,0.571315,5,0.828071,5,Very High
909,26125167300,0.039625,3,0.034489,3,0.005701,3,0.026605,3,Moderate
910,26125167400,0.671983,4,0.149187,3,0.087041,3,0.302737,4,High
911,26125167800,1.050118,5,0.906852,5,0.337821,4,0.76493,5,Very High
912,26125167900,0.776142,5,0.716339,5,0.794574,5,0.762352,5,Very High
913,26125168400,0.723495,5,1.224245,5,0.729924,5,0.892555,5,Very High
914,26125168500,0.70134,4,0.184229,3,0.004945,3,0.296838,4,High
915,26125168600,0.82948,5,0.677417,5,0.287876,4,0.598258,5,Very High
916,26125168700,1.010931,5,1.001707,5,0.586555,5,0.866398,5,Very High
917,26125168900,0.60968,4,0.482755,4,-0.215778,2,0.292219,4,High
918,26125170000,1.093705,5,0.660288,5,0.599217,5,0.784403,5,Very High
919,26125170100,1.025804,5,0.231959,3,0.223627,3,0.493797,4,High
920,26125170300,1.04805,5,0.605186,5,0.451166,4,0.701467,5,Very High
921,26125170400,1.073503,5,0.628502,5,0.363491,4,0.688499,5,Very High
922,26125171000,0.784064,5,0.1642,3,0.03794,3,0.328735,4,High
923,26125171100,0.334063,4,-0.029081,2,0.003095,3,0.102692,3,Moderate
924,26125171300,-0.275274,2,-0.088779,2,0.242954,3,-0.040366,2,Low
925,26125171400,-0.218448,2,0.029604,3,0.040668,3,-0.049392,2,Low
926,26125171500,-0.460798,2,-0.240561,2,0.010736,3,-0.230208,2,Low
927,26125171600,-0.599921,2,-0.85892,1,-0.519952,2,-0.659598,1,Very Low
928,26125172500,-0.546348,2,-1.063599,1,-0.483939,2,-0.697962,1,Very Low
929,26125173000,-0.03297,3,0.206175,3,-0.157122,2,0.005361,3,Moderate
930,26125173100,-0.633067,2,-0.318303,2,-0.159138,2,-0.370169,2,Low
931,26125173300,0.346784,4,0.35086,4,0.218919,3,0.305521,4,High
932,26163587000,0.405308,4,0.221762,3,0.07869,3,0.235253,3,Moderate
933,26163587900,0.107534,3,0.137657,3,0.269898,4,0.171696,3,Moderate
934,26163588000,-0.020515,3,0.260754,4,-0.190893,2,0.016449,3,Moderate
935,26163588100,-0.082705,3,-0.210654,2,-0.023059,2,-0.105473,2,Low
936,26163588200,0.192037,3,0.273707,4,-0.323318,2,0.047476,3,Moderate
937,26163588300,0.294576,4,0.475645,4,0.429809,4,0.40001,4,High
938,26163588400,0.117761,3,0.518543,4,0.467057,4,0.367787,4,High
939,26163589400,-0.339474,2,0.294133,4,0.29311,4,0.082589,3,Moderate
940,26163590400,0.217215,3,0.549784,5,0.469582,5,0.412193,4,High
941,26163590500,0.310202,4,0.069664,3,0.3416,4,0.240489,3,Moderate
942,26163590600,0.337852,4,0.365325,4,0.457427,4,0.386868,4,High
943,26163591600,-0.450874,2,0.215301,3,0.495066,5,0.086497,3,Moderate
944,26163591700,0.207322,3,0.314306,4,0.484053,5,0.335227,4,High
945,26163591800,0.261932,3,0.12146,3,0.155046,3,0.179479,3,Moderate
946,26163591900,0.384036,4,0.260008,4,0.346581,4,0.330208,4,High
947,26163592000,0.355949,4,0.66004,5,0.555548,5,0.523846,4,High
948,26163593200,0.296722,4,0.445281,4,0.224781,3,0.322262,4,High
949,26163593300,0.328711,4,0.474395,4,0.439235,4,0.414114,4,High
950,26163594000,0.203486,3,-0.123528,2,-0.289589,2,-0.069877,2,Low
951,26163594200,0.619429,4,0.475783,4,0.568393,5,0.554535,5,Very High
952,26163594300,0.638611,4,0.605206,5,0.456081,4,0.566633,5,Very High
953,26125173400,0.071756,3,0.159246,3,0.084776,3,0.105259,3,Moderate
954,26125173500,0.284961,4,0.081322,3,0.007451,3,0.124578,3,Moderate
955,26125173600,-0.19055,2,-0.073523,2,-0.081875,2,-0.115316,2,Low
956,26125175000,-0.764169,1,-0.223682,2,-0.244517,2,-0.410789,2,Low
957,26125175100,-0.363654,2,-0.553191,2,-0.247227,2,-0.388024,2,Low
958,26125175300,-0.29304,2,-0.385691,2,-0.349492,2,-0.342741,2,Low
959,26125180000,0.467578,4,0.198614,3,0.368204,4,0.344799,4,High
960,26125180100,0.587274,4,0.326784,4,0.283399,4,0.399152,4,High
961,26125180300,0.495064,4,0.282041,4,0.268382,4,0.348496,4,High
962,26125181000,-0.120083,3,-0.942769,1,-0.657911,1,-0.573588,2,Low
963,26125181100,0.246895,3,0.221945,3,0.341899,4,0.270247,4,High
964,26125181200,0.167497,3,-0.377342,2,0.191355,3,-0.006164,3,Moderate
965,26125181400,-0.083376,3,0.193584,3,0.174868,3,0.095025,3,Moderate
966,26125181500,0.104743,3,0.068142,3,0.046626,3,0.07317,3,Moderate
967,26147650100,0.49233,4,-0.036282,2,0.196795,3,0.217614,3,Moderate
968,26147650200,0.503864,4,0.12356,3,0.39753,4,0.341651,4,High
969,26147651200,0.116943,3,0.572774,5,0.374225,4,0.354647,4,High
970,26147651600,0.394945,4,0.099342,3,0.43675,4,0.310346,4,High
971,26147652100,0.408608,4,0.003995,3,0.405594,4,0.272732,4,High
972,26147652600,0.354258,4,-0.095545,2,0.43147,4,0.230061,3,Moderate
973,26147655600,0.422826,4,0.412346,4,0.393897,4,0.409689,4,High
974,26147657100,0.038478,3,-0.352059,2,-0.045954,2,-0.119845,2,Low
975,26147657200,0.296075,4,0.030226,3,0.45271,4,0.25967,3,Moderate
976,26147658500,0.019591,3,0.249206,3,0.525075,5,0.264624,4,High
977,26087330000,-0.296341,2,-0.124046,2,0.301516,4,-0.039624,2,Low
978,26087331000,-0.320508,2,-0.494399,2,0.075505,3,-0.246468,2,Low
979,26087331500,-0.023691,3,0.033568,3,0.364813,4,0.124897,3,Moderate
980,26087332000,0.305014,4,0.039612,3,0.183762,3,0.176129,3,Moderate
981,26087332500,0.091944,3,-0.099023,2,0.178266,3,0.057062,3,Moderate
982,26087333500,0.209526,3,0.158844,3,0.410775,4,0.259715,3,Moderate
983,26087334000,-0.105601,3,-0.081536,2,0.157003,3,-0.010045,3,Moderate
984,26087334500,0.408057,4,0.514264,4,0.529676,5,0.483999,4,High
985,26087336000,0.154089,3,0.13786,3,0.331793,4,0.207914,3,Moderate
986,26087337000,-0.068575,3,-0.512741,2,-0.220113,2,-0.267143,2,Low
987,26087337500,-0.093049,3,-0.091696,2,-0.137803,2,-0.107516,2,Low
988,26087338000,0.183891,3,0.249969,3,0.4671,4,0.30032,4,High
989,26087339000,-0.316377,2,0.325325,4,0.413145,4,0.140698,3,Moderate
990,26087339500,-0.253047,2,-0.229435,2,-0.228517,2,-0.237,2,Low
991,26087340000,0.689945,4,0.308484,4,0.548043,5,0.51549,4,High
992,26087340500,0.435012,4,-0.017242,3,0.202802,3,0.206858,3,Moderate
993,26087341000,0.655074,4,-0.492519,2,0.466442,4,0.209665,3,Moderate
994,26087342000,0.282861,4,0.236199,3,0.466516,4,0.328525,4,High
995,26087342100,0.245441,3,0.406226,4,0.470756,5,0.374141,4,High
996,26163594400,0.389072,4,0.392845,4,-0.001542,3,0.260125,3,Moderate
997,26163595000,0.237223,3,0.315484,4,0.148458,3,0.233722,3,Moderate
998,26163595100,0.439147,4,0.599494,5,0.228075,3,0.422239,4,High
999,26163595200,0.298068,4,0.480919,4,0.07562,3,0.284869,4,High
1000,26163596100,1.055428,5,0.24487,3,0.715382,5,0.671893,5,Very High
1001,26163596300,0.953764,5,0.70188,5,0.764112,5,0.806585,5,Very High
1002,26163597000,-0.017797,3,0.053539,3,0.173819,3,0.069854,3,Moderate
1003,26163598000,0.26963,4,0.532151,4,0.214895,3,0.338892,4,High
1004,26163599000,0.239183,3,-0.135926,2,0.197581,3,0.100279,3,Moderate
1005,26163599100,0.016685,3,-0.198469,2,0.096506,3,-0.028426,3,Moderate
1006,26163985400,-0.206561,2,0.114094,3,-0.01145,2,-0.034639,3,Moderate
1007,26163985600,-0.80426,1,0.126783,3,-0.01483,2,-0.230769,2,Low
1008,26163985700,-0.086311,3,-0.259325,2,-0.01483,2,-0.120155,2,Low
1009,26163990100,-0.525895,2,-0.153034,2,0,3,-0.22631,2,Low
1010,26115830100,0.041911,3,0.424271,4,0.328552,4,0.264911,4,High
1011,26115830200,0.121869,3,1.398665,5,0.333926,4,0.618153,5,Very High
1012,26115830400,0.148288,3,0.46722,4,0.409715,4,0.341741,4,High
1013,26115830500,0.172853,3,0.471704,4,0.428417,4,0.357658,4,High
1014,26115830600,0.271517,4,0.303264,4,0.439468,4,0.338083,4,High
1015,26115830700,0.504478,4,0.758225,5,0.281044,4,0.514582,4,High
1016,26115830800,0.357099,4,0.239,3,0.21096,3,0.26902,4,High
1017,26115830900,0.051399,3,0.230309,3,0.459077,4,0.246928,3,Moderate
1018,26115831000,0.715866,4,0.67553,5,0.586782,5,0.659393,5,Very High
1019,26115831200,-0.212699,2,0.045138,3,0.031956,3,-0.045202,2,Low
1020,26115831300,-0.10208,3,-0.060021,2,0.00216,3,-0.053314,2,Low
1021,26115831400,-0.110492,3,0.145954,3,0.01311,3,0.01619,3,Moderate
1022,26115831500,0.146613,3,0.442924,4,0.215793,3,0.268443,4,High
1023,26115831600,-0.150657,3,0.460752,4,-0.023656,2,0.09548,3,Moderate
1024,26115831700,0.182646,3,0.441695,4,0.067514,3,0.230618,3,Moderate
1025,26115831900,-0.4489,2,-0.360828,2,-0.32818,2,-0.379302,2,Low
1026,26115832000,-0.123731,3,0.597273,5,-0.101841,2,0.1239,3,Moderate
1027,26115832100,-0.755464,1,-0.225467,2,-0.407059,2,-0.462663,2,Low
1028,26115832300,-0.170554,3,0.202474,3,0.053646,3,0.028522,3,Moderate
1029,26115832400,0.255665,3,0.652129,5,0.459734,4,0.455842,4,High
1030,26115832500,-0.27148,2,0.168177,3,0.167211,3,0.021303,3,Moderate
1031,26115832600,-0.097985,3,0.734004,5,0.378203,4,0.338074,4,High
1032,26115832700,-0.184352,2,0.758052,5,0.327157,4,0.300286,4,High
1033,26115832900,0.064513,3,0.438037,4,0.419479,4,0.307343,4,High
1034,26115833000,0.962661,5,0.42493,4,0.495818,5,0.627803,5,Very High
1035,26115833100,0.657531,4,0.831666,5,0.454894,4,0.648031,5,Very High
1036,26115833300,0.577474,4,0.563807,5,0.548844,5,0.563375,5,Very High
1037,26115833500,0.383215,4,-0.074289,2,0.098697,3,0.135874,3,Moderate
1038,26115833600,-0.700583,2,0.219318,3,0.320423,4,-0.053614,2,Low
1039,26115833700,-0.085812,3,0.184998,3,0.148503,3,0.082563,3,Moderate
1040,26115833900,0.525655,4,0.729625,5,0.598196,5,0.617825,5,Very High
1041,26099256800,-0.095328,3,0.182049,3,0.280652,4,0.122458,3,Moderate
1042,26099258100,-0.457895,2,-0.571503,2,0.104915,3,-0.308161,2,Low
1043,26099258200,-0.762263,1,-0.384644,2,0.085785,3,-0.353707,2,Low
1044,26099258300,-0.686303,2,0.005401,3,0.028039,3,-0.217621,2,Low
1045,26099258400,-0.694785,2,-0.036305,2,0.122329,3,-0.20292,2,Low
1046,26099258600,-0.738644,1,-0.414626,2,-0.162612,2,-0.438627,2,Low
1047,26099258700,-0.641369,2,-0.181475,2,0.105023,3,-0.239274,2,Low
1048,26099258800,-0.233971,2,0.30227,4,0.28468,4,0.11766,3,Moderate
1049,26099260000,0.040397,3,0.44418,4,0.488504,5,0.32436,4,High
1050,26099260100,0.035662,3,0.354831,4,0.112702,3,0.167732,3,Moderate
1051,26099260200,0.223756,3,0.637828,5,0.48168,5,0.447755,4,High
1052,26099260300,0.098171,3,0.199033,3,0.408908,4,0.235371,3,Moderate
1053,26099260400,0.261456,3,0.200494,3,0.350824,4,0.270925,4,High
